,GDP(SA),수출(NSA),수입(NSA),소비자물가지수(NSA),NSI,전산업생산지수(SA),일평균수출(NSA),일평균수입(NSA),일평균수출(SA),일평균수입(SA),소비자물가지수(SA),"일평균수출(실질, SA)"
200602,,23786956.0,23507780.0,75.381,100.82,70.2,1081225.2727272727,1068535.4545454546,1099153.11475867,1051033.48051376,75.4239950755577,1457298.9851009198
200603,299314.8,26840145.0,25945007.0,75.827,99.82,70.9,1118339.375,1081041.9583333333,1128159.20842542,1074015.29346391,75.53135658210421,1493630.2742015321
200604,,25590123.0,24485820.0,75.902,98.84,71.7,1137338.8,1088258.6666666667,1123358.71814234,1072091.85589067,75.6306849857344,1485321.3591206134
200605,,27934507.0,26210366.0,76.05,93.12,72.0,1269750.3181818181,1191380.2727272727,1188885.55842219,1147968.61671517,75.8747398396576,1566905.614351501
200606,301501.6,27948805.0,26023464.0,75.902,90.33,70.4,1215165.4347826086,1131454.956521739,1170739.16955178,1141718.79319827,75.97693245177521,1540913.9745078317
200607,,25774350.0,25549715.0,76.199,88.26,69.4,1145526.6666666667,1135542.888888889,1185366.21943546,1156905.6843054,76.1613410616065,1556388.323672798
200608,,27287195.0,27029461.0,76.645,92.33,72.8,1136966.4583333333,1126227.5416666667,1220229.62512945,1175896.79438735,76.5483227990006,1594064.4817699143
200609,306367.7,29651247.0,27636644.0,76.868,101.61,72.6,1261755.1914893617,1176027.4042553192,1200758.50044994,1127707.24866778,76.6412523530093,1566726.095392141
200610,,28015959.0,25621762.0,76.496,98.4,75.3,1366632.1463414633,1249842.0487804879,1311212.09204135,1224138.76812878,76.5051176098555,1713888.0809620998
200611,,30602313.0,26765115.0,76.125,99.21,74.6,1275096.375,1115213.125,1273264.54213323,1151986.71200829,76.5503651929281,1663303.0279140421
200612,308755.4,28775383.0,27518194.0,76.348,98.22,73.3,1278905.911111111,1223030.8444444444,1295884.25871122,1233210.36869406,76.75724939752041,1688289.0787291327
200701,,28092561.0,27560101.0,76.496,91.76,73.8,1170523.375,1148337.5416666667,1281829.14641682,1180802.97997533,76.60481761747371,1673300.9571508102
200702,,26225125.0,25406152.0,77.017,96.38,75.5,1279274.3902439023,1239324.487804878,1296304.84947317,1224616.21747253,77.0883140532045,1681584.1225668676
200703,313924.1,30385840.0,29295460.0,77.464,97.47,74.1,1293014.4680851065,1246615.319148936,1311611.89986996,1253759.05064008,77.2281572192559,1698359.7007840108
200704,,29944456.0,29596882.0,77.761,106.32,75.1,1301932.8695652173,1286820.956521739,1287310.88022055,1280001.06200257,77.5126335646048,1660775.5678274166
200705,,31039901.0,29856937.0,77.836,107.11,75.5,1379551.1555555556,1326974.9777777777,1278710.74128845,1265046.42823396,77.6370647182262,1647036.4328293027
200706,319355.9,32000109.0,28508098.0,77.836,107.64,75.2,1422227.0666666667,1267026.5777777778,1358076.87515404,1269276.74197521,77.8737263224357,1743947.463783781
200707,,30207444.0,29223201.0,78.134,111.95,76.7,1313367.1304347827,1270573.956521739,1346522.28070911,1288988.30747801,78.0573734570552,1725041.7495150864
200708,,30998134.0,29642050.0,78.208,97.83,78.2,1291588.9166666667,1235085.4166666667,1381651.91450549,1275527.28417306,78.08342484173271,1769456.0879033678
200709,323104.6,29323535.0,27193582.0,78.655,103.74,76.7,1503771.0256410257,1394542.6666666667,1434134.12934377,1328835.94721432,78.439305138748,1828336.096051578
200710,,34433813.0,32741232.0,78.803,108.12,78.9,1434742.2083333333,1364218.0,1379968.19435134,1339828.05754572,78.83501311360459,1750450.897195574
200711,,35807893.0,33926124.0,78.803,97.23,78.9,1491995.5416666667,1413588.5,1500869.04663199,1471187.26144271,79.23499136272291,1894199.798371017
200712,330073.8,33030276.0,33895915.0,79.101,102.99,79.1,1536291.9069767443,1576554.1860465116,1558710.84190729,1597225.50380018,79.5284617085518,1959940.8921292888
200801,,32274575.0,36318030.0,79.472,98.54,80.0,1344773.9583333333,1513251.25,1500695.95796801,1554448.30746869,79.5714361651131,1885973.196278651
200802,,31178190.0,32624334.0,79.771,97.88,79.7,1558909.5,1631216.7,1569690.08348118,1612309.46149786,79.8341943728498,1966187.6665909013
200803,331402.0,35991776.0,37110561.0,80.515,88.12,79.3,1564859.8260869565,1613502.652173913,1588247.08107044,1635574.00567054,80.3100316879477,1977644.6948019217
200804,,37850247.0,38260401.0,80.962,103.73,80.0,1645662.9130434783,1663495.6956521738,1623337.47511747,1667572.56693498,80.7167758301141,2011152.5248904077
200805,,39383158.0,38704468.0,81.63,93.06,79.6,1831774.7906976745,1800207.8139534884,1695286.58533464,1704067.82745708,81.4204820143164,2082137.7415041006
200806,333136.8,37258608.0,37827931.0,82.151,76.31,78.0,1693573.0909090908,1719451.4090909092,1598095.40052208,1713711.92935536,82.16637867189921,1944950.509384718
200807,,40961223.0,42952491.0,82.747,79.55,79.3,1638448.92,1718099.64,1675059.36952108,1743141.38803267,82.66301846212559,2026370.922190019
200808,,36610603.0,40420447.0,82.598,75.88,79.5,1627137.911111111,1796464.3111111112,1736823.61684927,1844360.99564258,82.4634657558773,2106173.444117565
200809,335854.8,37428303.0,39528073.0,82.673,70.51,78.6,1663480.1333333333,1756803.2444444445,1588057.56075389,1664358.31507876,82.4713728518546,1925586.4257365498
200810,,37111140.0,36098774.0,82.598,60.04,78.3,1546297.5,1504115.5833333333,1495500.96583129,1489884.56632499,82.6656633469041,1809095.7058621338
200811,,28841617.0,28853646.0,82.375,65.53,75.1,1281849.6444444444,1282384.2666666666,1301277.36588238,1341207.79262597,82.80793582666,1571440.4095355242
200812,324825.7,27117889.0,26575580.0,82.375,72.73,71.9,1129912.0416666667,1107315.8333333333,1147640.245624,1127497.76399551,82.7974747307886,1386081.2172780496
200901,,21133405.0,24898821.0,82.45,76.45,74.0,982949.0697674418,1158084.6976744186,1105936.23195826,1179517.26063698,82.52432231523359,1340133.6732384285
200902,,25397150.0,22598094.0,83.045,80.19,76.0,1154415.9090909092,1027186.0909090909,1153388.30679508,1010941.90544347,83.0603522297213,1388614.7552145408
200903,325118.0,27890831.0,23920622.0,83.64,89.93,75.9,1162117.9583333333,996692.5833333334,1179061.04426863,1012310.81524583,83.4428713017475,1413015.90642164
200904,,30326509.0,24873845.0,83.862,99.01,78.6,1263604.5416666667,1036410.2083333334,1239893.6394878,1045441.06490666,83.6354663692624,1482497.4299939864
200905,,27823839.0,23407033.0,83.862,99.85,77.8,1324944.7142857143,1114620.619047619,1225942.97407485,1048725.58458113,83.6651545833312,1465296.9688280448
200906,329451.1,32210048.0,25689293.0,83.788,101.13,79.8,1370640.3404255318,1093161.4042553192,1283923.6246151,1087342.36286469,83.802396922986,1532084.6082660614
200907,,31908462.0,27679764.0,84.086,108.91,79.9,1276338.48,1107190.56,1306585.94570966,1130253.31274435,84.0286238358197,1554929.60144456
200908,,28949627.0,27408191.0,84.384,105.46,80.3,1258679.4347826086,1191660.4782608696,1347704.255063,1225163.48044412,84.2601872873682,1599455.565493432
200909,339310.5,33922429.0,29757140.0,84.459,109.23,82.2,1413434.5416666667,1239880.8333333333,1348774.54001169,1169611.03344391,84.2698474260807,1600542.2831633815
200910,,33970032.0,30396532.0,84.235,106.15,81.2,1476957.9130434783,1321588.347826087,1437270.75878034,1317074.49072563,84.3176645897141,1704590.3320188406
200911,,33991607.0,29534690.0,84.384,105.4,81.4,1477895.956521739,1284116.956521739,1514488.27554697,1346975.248068,84.81709896804759,1785593.1103202554
200912,341844.7,36009623.0,32920497.0,84.682,114.77,82.4,1500400.9583333333,1371687.375,1524291.20131625,1403885.65602544,85.1026758411095,1791120.1807122608
201001,,30735415.0,31535995.0,85.351,113.22,82.1,1366018.4444444445,1401599.7777777778,1529041.11150941,1412939.54077625,85.37825348748771,1790902.3071472093
201002,,33039402.0,31044126.0,85.523,104.91,84.2,1611678.1463414633,1514347.6097560977,1597924.52472643,1479968.97086316,85.45298964960759,1869945.7225295196
201003,348541.7,37308940.0,35575754.0,85.696,108.95,84.7,1554539.1666666667,1482323.0833333333,1567092.78065127,1495830.3918655,85.4875820647365,1833123.2944038236
201004,,39301014.0,35522367.0,86.041,112.77,84.0,1637542.25,1480098.625,1603112.72240018,1498869.17393195,85.8368209006299,1867628.2574072077
201005,,38887930.0,34853570.0,86.128,107.91,85.3,1851806.1904761905,1659693.8095238095,1726028.39998803,1562257.28941388,85.96743616496241,2007770.0080248574
201006,355163.3,42049045.0,35254773.0,86.041,109.93,85.3,1828219.347826087,1532816.2173913044,1706389.06160698,1523807.75184644,86.0862856005215,1982184.560181143
201007,,40423611.0,35421718.0,86.214,109.59,84.8,1649943.306122449,1445784.4081632653,1701861.77485995,1493540.51098881,86.1972730607621,1974380.0638104584
201008,,36480955.0,35274964.0,86.647,105.05,84.3,1520039.7916666667,1469790.1666666667,1631007.34165361,1519008.6693341,86.53583268912571,1884776.8502013455
201009,359266.2,39410882.0,35001780.0,87.337,109.98,84.3,1876708.6666666667,1666751.4285714286,1792778.7223962,1569068.39047889,87.1518745544387,2057074.1955485481
201010,,43340335.0,37001095.0,87.337,108.51,84.7,1844269.574468085,1574514.680851064,1797743.82178028,1572411.1569262,87.4411894592758,2055946.2112732898
201011,,41260912.0,38669304.0,86.906,110.97,85.1,1719204.6666666667,1611221.0,1770250.78297619,1690199.91783192,87.3281400485325,2027125.2565236995
201012,363646.8,44145320.0,40056714.0,87.251,112.2,86.2,1801849.7959183673,1634967.918367347,1827798.83192566,1676045.8505446,87.6474053647203,2085399.8179635594
201101,,44465366.0,41981323.0,88.288,115.44,88.3,1933276.7826086956,1825274.9130434783,2132821.96943051,1821753.63559627,88.2663768321213,2416347.0236090487
201102,,38467412.0,36401588.0,88.892,102.18,84.8,2024600.6315789474,1915873.0526315789,1999526.95895441,1862267.19997545,88.7358839822577,2253346.5259152716
201103,367040.1,48052991.0,45565952.0,89.238,97.23,87.9,2002207.9583333333,1898581.3333333333,2003978.12746255,1896332.47372294,89.0230653206818,2251077.426107217
201104,,48536725.0,44188522.0,89.325,107.81,86.7,2065392.5531914893,1880362.6382978724,2030005.22186416,1914000.71133581,89.1539729711908,2276965.517308057
201105,,47331329.0,45284932.0,89.497,103.83,87.0,2151424.0454545454,2058406.0,2020888.12175266,1943823.43429997,89.3654888612995,2261374.2144791456
201106,368841.5,46736893.0,44824772.0,89.67,100.81,87.9,2032038.8260869565,1948903.1304347827,1897339.88511605,1934967.12095781,89.7505509832598,2114014.749023591
201107,,48950113.0,44296129.0,90.102,106.13,87.4,2082983.5319148935,1884941.6595744682,2173934.83325138,1973945.7206504,90.1301245084331,2411995.817278577
201108,,45792061.0,45381680.0,90.707,85.55,87.8,1908002.5416666667,1890903.3333333333,2048042.18645144,1968160.61624982,90.61066693020392,2260266.0987243555
201109,370782.8,46510965.0,45279469.0,90.62,88.83,87.6,2114134.772727273,2058157.6818181819,2018112.62058106,1934988.76528891,90.41954620387091,2231942.8766328664
201110,,46613480.0,42709770.0,90.448,97.82,88.6,2071710.2222222222,1898212.0,2013374.76144448,1890619.92919175,90.5531762622388,2223417.051229454
201111,,46012595.0,43010481.0,90.534,96.28,87.5,1917191.4583333333,1792103.375,1978102.72626163,1874052.52972785,90.95321920770651,2174857.2986122784
201112,372534.0,47743725.0,45488471.0,90.879,97.06,86.8,1948723.469387755,1856672.2857142857,1969925.29151346,1896626.77567038,91.26453594076379,2158478.3960245643
201201,,41200358.0,43517291.0,91.242,102.46,87.7,1872743.5454545454,1978058.6818181819,2033387.88297225,1968561.0533314,91.1833450711285,2229999.219030718
201202,,46316184.0,45099984.0,91.588,97.58,89.5,2013747.1304347827,1960868.8695652173,1986393.03091332,1898839.74371142,91.36603101436579,2174104.542859033
201203,375758.9,47329817.0,45053406.0,91.614,105.26,88.5,2014034.7659574468,1917166.2127659575,2003066.7746978,1903300.49917439,91.39898542348791,2191563.4680371927
201204,,46094754.0,43957176.0,91.605,103.14,88.3,2095216.0909090908,1998053.4545454546,2078234.3117477,2043039.16413629,91.4718643875096,2271992.9517818824
201205,,46872357.0,44480339.0,91.769,94.17,89.2,2083215.8666666667,1976903.9555555556,1975424.90144935,1874397.09602783,91.6671609930684,2154997.362249198
201206,377885.6,47162605.0,41993629.0,91.639,94.31,88.2,2096115.7777777778,1866383.5111111111,1964006.77689815,1856590.80386174,91.74140183447291,2140807.4627437745
201207,,44667681.0,41976900.0,91.432,91.13,88.8,1861153.375,1749037.5,1962165.92096277,1847743.1669517,91.48238877300501,2144856.455193236
201208,,43045181.0,41115675.0,91.855,89.59,87.6,1793549.2083333333,1713153.125,1919059.96497591,1787374.35807776,91.7593431976096,2091405.515886368
201209,379592.8,45412538.0,42559535.0,92.512,95.23,88.3,2064206.2727272727,1934524.3181818181,1961984.88903732,1818993.71892105,92.3111554671793,2125403.889820112
201210,,47087760.0,43379893.0,92.339,92.47,88.8,2047293.9130434783,1886082.3043478262,1981696.65532671,1867948.00104692,92.4563793966926,2143385.5275946492
201211,,47805246.0,43381537.0,92.011,97.22,89.2,1991885.25,1807564.0416666667,2049096.08212445,1879887.23740608,92.40305221177229,2217563.2006486817
201212,381499.3,44875311.0,43069109.0,92.175,98.35,89.2,2087223.7674418604,2003214.3720930233,2103656.89099056,2030014.38499959,92.5172545009758,2273799.5224105706
201301,,45673109.0,45296942.0,92.728,99.16,89.7,1903046.2083333333,1887372.5833333333,2045482.64285416,1885754.84730936,92.6671660302223,2207343.4750201055
201302,,42331837.0,40458472.0,93.038,93.21,90.5,2064967.6585365853,1973584.0,2043222.50506825,1912788.90681213,92.7845806290548,2202114.2858174755
201303,384778.0,47312704.0,43976739.0,92.952,96.32,89.1,2102786.8444444444,1954521.7333333334,2088518.75223027,1942858.48443792,92.7607225266119,2251511.9496089523
201304,,46157925.0,43648241.0,92.823,92.53,90.3,1923246.875,1818676.7083333333,1921283.94707156,1864292.79321977,92.72690900945749,2071981.0113325384
201305,,48307560.0,42389874.0,92.823,97.91,90.0,2100328.695652174,1843038.0,2004598.68053051,1753865.33323019,92.7288725878392,2161784.8083202085
201306,389265.1,46690983.0,40719394.0,92.71,89.86,89.7,2171673.6279069767,1893925.3023255814,2043070.47117426,1887330.72842869,92.8033389091128,2201505.3501201575
201307,,45829521.0,43384403.0,92.909,95.38,89.5,1833180.84,1735376.12,1940411.01118354,1837776.24917943,92.97724338002008,2086974.1246819068
201308,,46311341.0,41593821.0,93.238,92.28,90.2,1970695.3617021276,1769949.829787234,2103689.20149372,1843546.45059315,93.1460957501639,2258483.4979409412
201309,392597.8,44650486.0,41055405.0,93.419,103.88,89.7,2232524.3,2052770.25,2108290.90583934,1928891.53746443,93.21753371701321,2261689.2142197425
201310,,50480484.0,45604963.0,93.134,94.86,91.1,2194803.652173913,1982824.4782608696,2120745.25464848,1951780.11700033,93.237047913233,2274573.5757550574
201311,,47905028.0,43106074.0,93.116,100.96,90.7,2038511.829787234,1834301.0212765958,2083220.67053358,1892946.54400648,93.48995816876379,2228282.813832311
201312,396032.7,47981456.0,44351186.0,93.229,96.59,90.2,2086150.2608695652,1928312.4347826086,2102022.31890126,1943423.13764465,93.54939463275178,2246965.175085525
201401,,45559632.0,44746013.0,93.73,93.56,92.1,2070892.3636363635,2033909.6818181819,2215412.46237348,2049702.29808218,93.68157156775641,2364832.7256883755
201402,,42911735.0,42061554.0,93.98,97.52,91.5,1995894.6511627906,1956351.3488372094,1984177.4457049,1903218.58178938,93.7142582859725,2117263.137963606
201403,399424.5,49064392.0,45558675.0,94.153,104.12,91.7,2133234.434782609,1980811.956521739,2120383.81496505,1978269.31123329,93.9821453423809,2256156.004143556
201404,,50267448.0,45873333.0,94.214,104.79,91.8,2094477.0,1911388.875,2105764.16873366,1963054.91639356,94.14108764747759,2236817.335931939
201405,,47577183.0,42607483.0,94.369,102.91,90.7,2212892.2325581396,1981743.3953488371,2123491.96810594,1885631.44763132,94.27833373980471,2252364.762795328
201406,402905.9,47827709.0,42476381.0,94.248,101.99,92.1,2277509.9523809524,2022684.8095238095,2148402.20800839,2020157.82160362,94.33673785345819,2277375.9798072497
201407,,48204545.0,45863916.0,94.386,104.41,92.3,1928181.8,1834556.64,2035652.91400403,1941606.12225367,94.47273914239929,2154751.6590322196
201408,,46108370.0,42791869.0,94.551,108.61,91.4,2049260.888888889,1901860.8444444444,2183950.36553778,1969664.37165504,94.4386608300743,2312559.651250681
201409,404193.0,47446217.0,44184712.0,94.49,102.21,90.5,2259343.6666666665,2104033.904761905,2118663.80006453,1984606.00217223,94.28679651345051,2247041.8747998206
201410,,51630657.0,44097421.0,94.205,96.51,91.4,2244811.1739130435,1917279.1739130435,2165863.86102343,1871954.27971572,94.2865274944918,2297108.5250222613
201411,,46605342.0,41343254.0,94.015,105.14,91.3,2071348.5333333334,1837477.9555555556,2105249.88695439,1889600.58845066,94.38571559911291,2230475.1027115975
201412,406194.1,49461377.0,43909896.0,94.006,100.09,91.5,2060890.7083333333,1829579.0,2080953.52807067,1833586.99912038,94.30414573148241,2206640.558513608
201501,,45105389.0,39283025.0,94.643,104.49,91.5,1919378.255319149,1671618.085106383,2051865.26967134,1696795.96361395,94.61979690813699,2168536.9623689037
201502,,41472191.0,33998316.0,94.587,106.28,92.9,2182746.8947368423,1789385.0526315789,2175171.63000203,1748226.11362289,94.3115489478368,2306368.2595279035
201503,409287.8,46822771.0,38485935.0,94.596,112.7,92.2,1950948.7916666667,1603580.625,1948529.37932241,1610614.08563073,94.45347024704279,2062951.6038172413
201504,,46221931.0,37858798.0,94.625,115.28,92.9,1925913.7916666667,1577449.9166666667,1944712.79710545,1619642.77112981,94.5537180840345,2056728.0023584994
201505,,42327311.0,36039800.0,94.89,109.25,91.6,2064746.8780487804,1758039.024390244,1987712.92874729,1670951.30105653,94.7988795976192,2096768.3765718364
201506,411277.5,46554512.0,36598398.0,94.909,100.91,92.3,1981043.0638297873,1557378.6382978724,1869269.60900166,1553559.6986926,95.004730938717,1967554.2370699793
201507,,45695747.0,38647067.0,95.08,102.89,92.3,1827829.88,1545882.68,1922840.47422209,1635766.58012111,95.20250964411301,2019737.1701755258
201508,,39107399.0,34772163.0,95.213,95.62,93.8,1777609.0454545454,1580552.8636363635,1896584.92811474,1634419.24371798,95.09736539592659,1994361.168912024
201509,417287.5,43432312.0,34540504.0,94.966,100.75,94.8,2020107.534883721,1606535.0697674418,1878193.88900239,1522128.9330361,94.74857692841428,1982292.4521826098
201510,,43352046.0,36762975.0,94.966,109.66,94.3,1884871.5652173914,1598390.2173913044,1814986.48933825,1553739.01795149,94.97464689845941,1911022.0975906476
201511,,44285052.0,34049682.0,94.786,106.13,94.0,1925437.043478261,1480420.956521739,1953023.1101117,1515839.01699822,95.1555836786482,2052452.4516683044
201512,420167.6,42379843.0,35462311.0,95.07,101.4,94.6,1765826.7916666667,1477596.2916666667,1787370.21679058,1476652.95700401,95.37157650134908,1874112.0597553472
201601,,36260420.0,31321901.0,95.232,96.32,93.5,1611574.2222222222,1392084.4888888889,1723391.32111489,1419439.71663156,95.24013463327559,1809522.1386979865
201602,,35924541.0,29163323.0,95.64,94.67,94.7,1796227.05,1458166.15,1789158.42908489,1425181.13184695,95.34915357072991,1876428.2241453712
